model,accuracy,macro_f1,fit_time_sec,predict_time_sec
SklearnRandomForest,0.911,0.9112450255048002,2.1754149999997026,0.03636639999967883
CustomRandomForest,0.9105625,0.9108000450269144,3.1693144000000757,0.16746879999936937
