site,accuracy,mIoU_active,IoU_Greenery,IoU_Sand,IoU_Water,IoU_Cement
CairoUniv,0.848968505859375,0.5218804975904845,0.43625434988927553,0.03028683413504365,0.7866976577865189,0.8342831485511001
PhilaeAswan,0.8499755859375,0.4601811447596924,0.2905982905982906,0.6423014004708135,0.9078248879696657,0.0
KarnakLuxor,0.39581298828125,0.4431508483626855,0.7051133655613808,0.1447659989363588,0.9227240289530023,0.0
IconicTower,0.8115234375,0.38783783223145496,0.20144717800289436,0.7692276660548238,0.0,0.5806764848681016
SiwaOasis,0.705291748046875,0.3374777487193279,0.6953353837141183,0.6545756111631932,0.0,0.0
